,Name,Address1,Address2,Address3,Address4,Postal,lng,lat,full_address
135,"Beverages, Fruits, Dessert & Value Set (S1) @ On The Ridge By Kopitiam NUH",1,Lower Kent Ridge Road,05-01,One @ Kent Ridge,119082,103.78396,1.29355,1 Lower Kent Ridge Road 05-01 One @ Kent Ridge
136,Beverages/Fried Delight (S5)@My Kampung Heartbeat@Bedok,11,Bedok North Street 1,01-28/29,Heartbeat @ Bedok,469662,103.9326099478,1.3273499222,11 Bedok North Street 1 01-28/29 Heartbeat @ Bedok
137,Beyond Pancakes,180,KITCHENER ROAD,02-35/36,City Square Mall,208539,103.856625,1.31139,180 KITCHENER ROAD 02-35/36 City Square Mall
138,BIBIK CATERERS PTE. LTD.,2,Pandan Crescent,02-00,Inchcape Centre / Borneo Motors,128462,103.7609299195,1.3019800594,2 Pandan Crescent 02-00 Inchcape Centre / Borneo Motors
139,Big Fish Small Fish,200,Victoria Street,04-05,Bugis Junction,188021,103.8553875,1.298988,200 Victoria Street 04-05 Bugis Junction
140,Big Fish Small Fish,1,Northpoint Drive,02-132/133,South Wing of Northpoint City,768019,103.8361725,1.427868,1 Northpoint Drive 02-132/133 South Wing of Northpoint City
141,Big Fish Small Fish,,50 Punggol East,01-K35,,828826,103.916745,1.394676, 50 Punggol East 01-K35 
142,Big Fish Small Fish,4,TAMPINES CENTRAL 5,B1-K3,TAMPINES MALL,529510,103.944663,1.352592,4 TAMPINES CENTRAL 5 B1-K3 TAMPINES MALL
143,Bingsu Corner Korean Dessert @ fusion spoon,1,CLUNY ROAD,B1-00,NATIONAL PARKS BOARD,259569,103.8163455,1.3125149999999999,1 CLUNY ROAD B1-00 NATIONAL PARKS BOARD
144,Bizlink Cafe,10,BUANGKOK VIEW,,INSTITUTE OF MENTAL HEALTH,539747,103.88474,1.38165,10 BUANGKOK VIEW  INSTITUTE OF MENTAL HEALTH
145,BLACK & WHITE DELIGHT,18,MARINA GARDENS DRIVE,,SATAY BY THE BAY (S8),018953,103.86432,1.281816,18 MARINA GARDENS DRIVE  SATAY BY THE BAY (S8)
146,BLACK & WHITE DELIGHT,18,MARINA GARDENS DRIVE,,SATAY BY THE BAY (S11C),018953,103.86432,1.281816,18 MARINA GARDENS DRIVE  SATAY BY THE BAY (S11C)
147,Blisshouse Theme Restaurant,6,EU TONG SEN STREET,0  3--13A-21,Clarke Quay The Central (Yellow Zone),059817,103.84625,1.2889,6 EU TONG SEN STREET 0  3--13A-21 Clarke Quay The Central (Yellow Zone)
148,Blue Jasmine @ Park Hotel Farrer Park,10,Farrer Park Station Road,05,Park Hotel Farrer Park,217564,103.85454,1.31209,10 Farrer Park Station Road 05 Park Hotel Farrer Park
